stage,macro_rmse,fd001_rmse,fd002_rmse,fd003_rmse,fd004_rmse,worst_fd_rmse,artifact,delta_vs_baseline,improvement_vs_baseline_pct
Simple Baseline,46.21548008892971,38.461726278711104,54.09892638692608,39.17887831080829,53.122389379273365,54.09892638692608,outputs/tuning_hybrid_multifd_v3_selection/hybrid_multifd_tuning.csv,0.0,0.0
Single Model Best,20.884485250165294,12.37734490556563,28.60934753952564,12.271254274852147,30.27999428071777,30.27999428071777,outputs/tuning_hybrid_multifd_v11_encoder_mix/hybrid_multifd_tuning.csv,-25.330994838764415,54.81062793250548
Hierarchical (early),17.213479414460775,11.934363099020905,21.907591662604865,11.146466324108152,23.865496572109176,23.865496572109176,outputs/hierarchical_ensemble_cross_oldglobal_stagefd24_w51/hierarchical_ensemble_metrics.csv,-29.002000674468935,62.753866493785424
Hierarchical Best,17.04426220768403,10.715711795319548,22.39067874154853,11.601352104131497,23.469306189736557,23.469306189736557,outputs/hierarchical_ensemble_cross_ensglobal_newfd13_fd24v3full_t2s43_w101/hierarchical_ensemble_metrics.csv,-29.171217881245678,63.120014819954775
"Meta-Stacker (variance, experiment)",17.54473665226427,11.26061697002219,22.81289527957408,12.627139704620005,23.478294654840795,23.478294654840795,outputs/meta_stacker_variance_loop1/meta_stacker_variance_metrics.csv,-28.67074343666544,62.03709965036829
